Language,Speaker tier,Count,Lemma,English lemma,Clarifier,POS,Gender,Number,Tense,Notes,Occurring in files …
cym,ar_fin,1,ar_fin,on_the_verge,,ADV,,,,needs adding to phrasal prep & adv list in doc file,fusser15
cym,arfu,1,,,,,,,,"error for ""arfogi""",fusser12
cym,ar_gael,10,ar_gael,available,,ADV,,,,needs adding to phrasal prep & adv list in doc file - or split up into two words,"fusser15,fusser18,fusser19,robert1,roberts1"
,,,,,,,,,,,
cym,argoeledig,6,argoeledig,superstitious,,ADJ,,,,GPC,fusser9
cym,argol,8,argoel,omen,,N,MF,S,,"GPC ""argol -> argoel""","davies10,davies14,davies6"
cym,ar_lein,2,ar_lein,on-line,,ADV,,,,"""ar-lein"" -> ""ar lein"" GPC",davies13
cym,arluniwr,1,arluniwr,painter,,N,MF,S,,,robert5
cym,arnach,2,ar,on,,PREP,,P,,2P,"fusser10,fusser8"
cym,arnan,5,ar,on,,PREP,,P,,3P,"fusser12,lloyd1,robert8,smith1"
cym,arnof,2,,,,,,,,"changed them to ""arnaf"" - that's what they sounded like to me anyway!","davies2,fusser15"
cym,arolygaeth,1,arolygaeth,supervision,,,,,,in new edition of GPC,fusser9
cym,arosa,2,,,,V,,,IMPER,"changed to ""arhosa""",davies16
cym,arwiniaidd,1,,,,,,,,"error for ""arweiniaeth""",fusser17
cym,astrus,2,astrus,difficult,,ADJ,,,,GPC,fusser5
cym,astudiaethoedd,1,astudiaeth,study,,N,MF,P,,non-standard/made-up plural,davies9
,,,,,,,,,,,
cym,atgofio,2,atgofio,recall,,V,,,INFIN,GPC,fusser26
cym,atgyfodiad,1,atgyfodiad,resurrection,,N,M,S,,,stammers7
cym,awch,1,awch,keenness,,N,MF,S,,GPC,fusser9
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
cym,b,1,b,b,,N,m?,S,,letter,robert3
cym,babyddol,2,pabyddol,Catholic,,ADJ,,,,,davies17
cym,bachau,2,bachyn,hook,,N,M,P,,,robert6
cym,bachyn,2,bachyn,hook,,N,M,S,,,davies10
cym,baco,7,baco,tobacco,,N,M,S,,GPC,"robert8,stammers3"
cym,bagaid,2,bagaid,bagful,,N,M,S,,GyA,"fusser11,robert5"
,,,,,,,,,,,
cym,balansio,2,balansio,balance,,V,,,INFIN,in GyA (and possibly new edition of GPC),"davies4,stammers7"
cym,balchach,2,balch,content,,ADJ,,,,COMP,"davies4,fusser16"
cym,balog,1,balog,codpiece,,N,F,S,,GPC,robert8
cym,bangor,1,bangor,enclosure,,N,MF,S,,,fusser9
cym,banhau,1,,,,,,,,"error for ""fwynhau""",fusser18
cym,bara_brith,1,,,,,,,,have split it up,fusser23
cym,basachd,1,bod,be,,V,,S,COND,2S,fusser19
cym,basat,1,bod,be,,V,,S,COND,2S,fusser15
cym,basgiad,2,basged,basket,,N,F,S,,"this form not GPC, but needs recording as otherwise it would be @cym&eng",fusser27
cym,bathodyn,1,bathodyn,batch,,N,M,S,,,robert9
cym,becar,1,,,,,,,,"changed to ""baker@eng""",robert8
,,,,,,,,,,,
cym,bedwardegau,1,pedwardegau,forties,,N,,P,,GPC,fusser10
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
cym,beiblaidd,1,,,,,,,,"changed to ""Beiblaidd""",fusser8
cym,Beiblaidd,1,Beiblaidd,biblical,,ADJ,,,,,fusser8
cym,bella,5,pell,far,,ADJ,,,,SUP,"fusser11,fusser13,fusser21,robert8"
cym,beltiau,1,belt,belt,,N,F,P,,GPC,fusser11
cym,bendro,2,pendro,dizziness,,N,F,S,,GPC,roberts3
cym,benelin,1,penelin,elbow,,N,MF,S,,,roberts1
cym,bensal,1,pensal,pencil,,N,M,S,,GPC,fusser18
,,,,,,,,,,,
cym,berfâid,1,berfâid,barrowful,,N,F,S,,GPC,davies4
cym,berfeddion,1,perfedd,middle,,N,M,P,,,stammers9
cym,bethe,1,,,,,,,,"changed to ""bethau""",fusser32
cym,beudái,3,beudy,cowshed,,N,M,P,,GPC,fusser16
cym,biciad,2,picio,dash,,V,,,INFIN,GPC,"fusser5,stammers6"
cym,bidlan,2,,,,,,,,"changed to ""bidlen"" (as in GPC)",davies6
cym,bidlen,2,pidlen,penis,,N,F,S,,"changed from ""bidlan""",davies6
cym,bitio,1,,,,,,,,"changed to ""bitïo""",davies10
cym,bitïo,1,pitïo,pity,,V,,,INFIN,,davies10
cym,blaidd,3,blaidd,wolf,,N,M,S,,,davies4
cym,blaidds,1,blaidd,wolf,,N,M,P,,made-up plural,davies4
cym,blaniau,1,plan,plan,,N,M,P,,GPC,roberts2
cym,blanio,1,planio,plan,,V,,,INFIN,GPC,davies15
cym,bleiddiaid,1,blaidd,wolf,,N,M,P,,,fusser11
cym,bles,1,ples,content,,ADJ,,,,GPC,davies1
cym,blês,1,,,,,,,,"changed to ""bles""",fusser15
cym,blewiach,1,blewiach,fluff,,N,,P,,GPC,davies2
cym,blwyfol,2,plwyfol,parochial,,ADJ,,,,,fusser9
cym,blys,3,blys,desire,,N,M,S,,,"fusser26,fusser6"
,,,,,,,,,,,
cym,bobman,1,pobman,everywhere,,ADV,,,,"GPC, GyA",stammers1
